url,clicks_16mo,impressions_16mo,sessions_12mo,users_12mo,redirect_source,redirect_destination,destination_exists,status
/,25,1270,565,524,,,n/a,SAME_PATH
/why-choose-last-apple-pioneering-ai-driven-digital-marketing/,7,2769,15,15,/why-choose-last-apple-pioneering-ai-driven-digital-marketing/:path*,/about,yes,OK_exact
/coffee-shop-seo-how-local-businesses-can-brew-better-search-rankings/,6,3500,35,35,/coffee-shop-seo-how-local-businesses-can-brew-better-search-rankings/:path*,/stream/coffee-shop-seo,yes,OK_exact
/cursor-claude-and-chaos-building-a-mautic-data-enrichment-tool-with-ai/,5,528,34,34,/cursor-claude-and-chaos-building-a-mautic-data-enrichment-tool-with-ai/:path*,/stream/cursor-claude-chaos,yes,OK_exact
/context-anchoring-in-ai-troubleshooting-a-real-world-problem-in-workflow-efficiency/,2,139,19,19,/context-anchoring-in-ai-troubleshooting-a-real-world-problem-in-workflow-efficiency/:path*,/stream/context-anchoring-ai,yes,OK_exact
/contact/,1,265,81,81,,,n/a,SAME_PATH
/building-a-brain-not-just-another-marketing-tool/,1,33,26,26,/building-a-brain-not-just-another-marketing-tool/:path*,/stream/building-a-brain,yes,OK_exact
/wordpress-performance-optimization-seo-services/,1,277,13,13,/wordpress-performance-optimization-seo-services/:path*,/services/wordpress-performance,no,DEST_MISSING_exact
/ai-powered-content-creation-services-elevate-your-digital-presence/,1,506,11,11,/ai-powered-content-creation-services-elevate-your-digital-presence/:path*,/solutions/content-creation,no,DEST_MISSING_exact
/ai-powered-b2b-email-list-services/,1,175,8,8,/ai-powered-b2b-email-list-services/:path*,/solutions/b2b-email-list,no,DEST_MISSING_exact
/seo-guide-for-solopreneurs/,1,1402,8,8,/seo-guide-for-solopreneurs/:path*,/solutions/seo-guide,no,DEST_MISSING_exact
/revolutionizing-digital-marketing-the-power-of-ai-in-seo/,0,11,69,69,/revolutionizing-digital-marketing-the-power-of-ai-in-seo/:path*,/stream/revolutionizing-digital-marketing,yes,OK_exact
/from-manual-drudgery-to-ai-driven-efficiency-a-journey-in-data-integration/,0,0,69,69,/from-manual-drudgery-to-ai-driven-efficiency-a-journey-in-data-integration/:path*,/stream/manual-to-ai-efficiency,yes,OK_exact
/ai-for-meeting-analysis-task-management/,0,2,67,67,/ai-for-meeting-analysis-task-management/:path*,/stream/ai-meeting-analysis,yes,OK_exact
/technical-debt-in-the-age-of-ai-a-journey-from-rigid-systems-to-living-knowledge/,0,0,67,67,/technical-debt-in-the-age-of-ai-a-journey-from-rigid-systems-to-living-knowledge/:path*,/stream/technical-debt-ai,yes,OK_exact
/blog/,0,198,62,57,/blog/:path*,/stream,yes,OK_exact
/wordpress-maintenance/,0,184,51,51,/wordpress-maintenance/:path*,/services/wordpress-maintenance,yes,OK_exact
/java-seo-technical-audits-coffee-shops/,0,986,45,33,/java-seo-technical-audits-coffee-shops/:path*,/stream/coffee-shop-seo,yes,OK_exact
/privacy/,0,52,43,43,,,n/a,SAME_PATH
/services/,0,245,35,35,,,n/a,SAME_PATH
/about/,0,248,30,30,,,n/a,SAME_PATH
/why-your-company-needs-a-brain-building-an-ai-powered-knowledge-engine/,0,43,24,24,/why-your-company-needs-a-brain-building-an-ai-powered-knowledge-engine/:path*,/stream/company-needs-brain,yes,OK_exact
/from-chaos-to-symphony-when-ai-cognitive-overload-led-to-multi-persona-breakthrough/,0,166,21,21,/from-chaos-to-symphony-when-ai-cognitive-overload-led-to-multi-persona-breakthrough/:path*,/stream/from-chaos-to-symphony,yes,OK_exact
/consultation/,0,144,20,20,/consultation/:path*,/contact,yes,OK_exact
/orchestrating-the-ai-ensemble-a-five-movement-technical-symphony-of-multi-llm-collaboration/,0,134,18,18,/orchestrating-the-ai-ensemble-a-five-movement-technical-symphony-of-multi-llm-collaboration/:path*,/stream/orchestrating-ai-ensemble,yes,OK_exact
/partners/,0,108,18,18,/partners/:path*,/about,yes,OK_exact
/from-sketches-to-systems-four-months-of-transformative-marketing-automation/,0,71,17,17,/from-sketches-to-systems-four-months-of-transformative-marketing-automation/:path*,/stream/from-sketches-to-systems,yes,OK_exact
/wordpress-resurrection-breathing-new-life-into-aging-websites/,0,162,17,17,/wordpress-resurrection-breathing-new-life-into-aging-websites/:path*,/services/wordpress-resurrection,yes,OK_exact
/website-renaissance-transforming-digital-presence/,0,0,17,17,/website-renaissance-transforming-digital-presence/:path*,/services/website-renaissance,no,DEST_MISSING_exact
/beyond-the-blueprint-how-multiple-ais-and-one-vision-drove-our-marketing-automation-success/,0,109,16,16,/beyond-the-blueprint-how-multiple-ais-and-one-vision-drove-our-marketing-automation-success/:path*,/stream/beyond-the-blueprint,yes,OK_exact
/the-symphony-of-ai-powered-marketing-automation-gemini-chats-vision-unveiled/,0,0,16,16,/the-symphony-of-ai-powered-marketing-automation-gemini-chats-vision-unveiled/:path*,/stream/symphony-ai-marketing,yes,OK_exact
/ai-powered-chatbot-solutions/,0,94,11,11,/ai-powered-chatbot-solutions/:path*,/solutions/ai-chatbot-solutions,no,DEST_MISSING_exact
/ai/,0,0,11,11,,,no,NO_REDIRECT
/augmentive-services/,0,145,10,10,/augmentive-services/:path*,/solutions,yes,OK_exact
/audio-scapes/,0,122,8,8,/audio-scapes/:path*,/solutions/audio-scapes,no,DEST_MISSING_exact
/ai-driven-data-integration-and-process-optimization/,0,0,6,6,/ai-driven-data-integration-and-process-optimization/:path*,/solutions/data-integration,yes,OK_exact
/uncategorized/,0,0,6,6,,,no,NO_REDIRECT
//checkout/,0,0,5,5,,,no,NO_REDIRECT
/home-duplicate/,0,0,5,5,,,no,NO_REDIRECT
/zoom/,0,0,5,5,/zoom/:path*,/contact,yes,OK_exact
/schedule-free-seo-report-review/,0,1,4,3,/schedule-free-seo-report-review/:path*,/contact,yes,OK_exact
/unleash-hubspots-full-potential-with-last-apple/,0,133,4,4,/unleash-hubspots-full-potential-with-last-apple/:path*,/solutions/hubspot-integration,no,DEST_MISSING_exact
/wordpress-maintenance-plans/,0,6,4,4,/wordpress-maintenance-plans/:path*,/services/maintenance-plans,no,DEST_MISSING_exact
/2024/06/28/,0,0,4,4,,,no,NO_REDIRECT
/2024/09/10/,0,0,4,4,,,no,NO_REDIRECT
/author/hankgroman/,0,0,4,4,,,no,NO_REDIRECT
/terms-use/,0,0,4,4,/terms-use/:path*,/terms,yes,OK_exact
/elevate-your-social-presence-with-ai-driven-strategies/,0,68,3,3,/elevate-your-social-presence-with-ai-driven-strategies/:path*,/solutions/social-strategies,no,DEST_MISSING_exact
/2025/06/20/,0,0,3,3,,,no,NO_REDIRECT
/cart/,0,1,0,0,/cart/:path*,/services,yes,OK_exact
/checkout/,0,1,0,0,/checkout/:path*,/contact,yes,OK_exact
/java/,0,55,0,0,,,no,NO_REDIRECT
/last-apple-wordpress-maintenance-onboarding-process/,0,6,0,0,/last-apple-wordpress-maintenance-onboarding-process/:path*,/services/wordpress-maintenance,yes,OK_exact
/maintenance-plan-quote-request/,0,13,0,0,/maintenance-plan-quote-request/:path*,/services/maintenance-plans,no,DEST_MISSING_exact
/seo-for-entrepreneurs/,0,1,0,0,,,no,NO_REDIRECT
/shop/,0,9,0,0,/shop/:path*,/services,yes,OK_exact
/social-media-consultation/,0,4,0,0,/social-media-consultation/:path*,/contact,yes,OK_exact
/wordpress-strategy-consultation/,0,3,0,0,/wordpress-strategy-consultation/:path*,/contact,yes,OK_exact
